source_file,K,condition,feature_source,transition_mask_source,transition_supervision,direct_object_tokens,object_type_source,n_labeled_samples,n_labeled_states,best_val_f1,best_threshold,precision,recall,f1,macro_f1,exact_match,type_acc,pred_pos_rate,label_pos_rate,avg_prob
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,20,adjacent,unknown,unknown,unknown,unknown,unknown,20,20,0.9669682383537292,0.05000000074505806,0.9565722942352295,0.9979056715965271,0.976801872253418,0.9621860384941101,0.7751322984695435,0.9993386268615723,0.2608024775981903,0.25,0.2548457086086273
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,20,full,unknown,unknown,unknown,unknown,unknown,20,20,0.9688002467155457,0.05000000074505806,0.9643161296844482,0.9979056715965271,0.9808233976364136,0.9685310125350952,0.8386243581771851,0.9910714030265808,0.258708119392395,0.25,0.25312289595603943
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,20,random_pairs,unknown,unknown,unknown,unknown,unknown,20,20,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.5,1.0,0.25,0.46198973059654236
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,20,static,unknown,unknown,unknown,unknown,unknown,20,20,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.9619709253311157,1.0,0.25,0.47849559783935547
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,50,adjacent,unknown,unknown,unknown,unknown,unknown,50,47,0.976980447769165,0.05000000074505806,0.9713611602783203,0.998236358165741,0.9846153259277344,0.9756977558135986,0.8827160596847534,1.0,0.256916880607605,0.25,0.25187948346138
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,50,full,unknown,unknown,unknown,unknown,unknown,50,47,0.9834067225456238,0.05000000074505806,0.9793468713760376,0.9983465671539307,0.988755464553833,0.981703519821167,0.9232804179191589,0.9996693134307861,0.2548500895500183,0.25,0.25093263387680054
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,50,random_pairs,unknown,unknown,unknown,unknown,unknown,50,47,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.5,1.0,0.25,0.5073671936988831
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,50,static,unknown,unknown,unknown,unknown,unknown,50,47,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.9260361790657043,1.0,0.25,0.4968731999397278
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,100,adjacent,unknown,unknown,unknown,unknown,unknown,100,94,0.9856635928153992,0.05000000074505806,0.9805004596710205,0.9976851940155029,0.9890181422233582,0.9821421504020691,0.9320987462997437,0.9997795224189758,0.25438162684440613,0.25,0.2512844204902649
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,100,full,unknown,unknown,unknown,unknown,unknown,100,94,0.9790990352630615,0.05000000074505806,0.9755387902259827,0.9979056715965271,0.9865954518318176,0.9795610904693604,0.9021164178848267,1.0,0.2557319104671478,0.25,0.251547634601593
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,100,random_pairs,unknown,unknown,unknown,unknown,unknown,100,94,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.5,1.0,0.25,0.45277854800224304
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,100,static,unknown,unknown,unknown,unknown,unknown,100,94,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,1.0,1.0,0.25,0.5186532139778137
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,200,adjacent,unknown,unknown,unknown,unknown,unknown,200,171,0.9811075329780579,0.05000000074505806,0.9750134348869324,0.9979056715965271,0.9863267540931702,0.9783437252044678,0.9056437611579895,1.0,0.25586971640586853,0.25,0.25170108675956726
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,200,full,unknown,unknown,unknown,unknown,unknown,200,171,0.9801410436630249,0.05000000074505806,0.9752939939498901,0.9964726567268372,0.9857695698738098,0.977581799030304,0.8994709253311157,1.0,0.2554287910461426,0.25,0.25112855434417725
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,200,random_pairs,unknown,unknown,unknown,unknown,unknown,200,171,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,1.0,1.0,0.25,0.42440035939216614
experiments/aepaq_fewshot_1779551180/fewshot_structural_results.json,200,static,unknown,unknown,unknown,unknown,unknown,200,171,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,1.0,1.0,0.25,0.4761052131652832
